square_id,model,MAE,RMSE,MAPE,fallback_steps
5059,ARIMA,124.08950717250184,188.1331877716407,10.712198657128317,0.0
5161,ARIMA,143.95955883945763,222.85745592865638,12.249757564439905,0.0
5259,ARIMA,101.81362520820481,147.6110800213317,9.367653252341828,0.0
5059,LSTM,140.544707672682,199.35188590221347,14.882319696796214,
5161,LSTM,168.73484269762818,237.81223369844557,21.15343308981647,
5259,LSTM,109.83830458103873,153.67955292360637,11.696053188048174,
5059,XGBoost,130.10997681313154,191.44658665935702,11.304259936892075,
5161,XGBoost,157.8794210397233,273.7519995419709,12.59151275183453,
5259,XGBoost,98.3829319709653,139.6827573278674,9.882898630109555,
