,MAE,MAPE,RMSE
ARIMA,124.08950717250184,10.712198657128317,188.1331877716407
LSTM,140.544707672682,14.882319696796214,199.35188590221347
XGBoost,130.10997681313154,11.304259936892075,191.44658665935702
