,MAE,MAPE,RMSE
ARIMA,143.95955883945763,12.249757564439905,222.85745592865638
LSTM,168.73484269762818,21.15343308981647,237.81223369844557
XGBoost,157.8794210397233,12.59151275183453,273.7519995419709
