model,order,fourier_harmonics,rmse,mae,mape,elapsed_s
SARIMA,"(1, 1, 1)",0,183.63370002114152,123.3853963001454,8.485680949901754,7.958328791006352
SARIMA,"(1, 1, 1)",2,158.89195204279812,105.68547829186117,7.485971197361571,21.31926850000309
SARIMA,"(1, 1, 1)",4,153.50307715335944,103.3598953992284,7.515558978802284,27.35573854100221
SARIMA,"(2, 1, 2)",0,162.75811882496606,108.93426303796042,7.550783077135405,8.419301791996986
SARIMA,"(2, 1, 2)",2,157.72637098489128,104.59479043565959,7.418945231025306,31.65768787500565
SARIMA,"(2, 1, 2)",4,152.63282914702944,102.34546304976138,7.460390499431933,32.37552879100258
SARIMA,"(3, 1, 1)",0,161.22956793514012,107.70845876560877,7.441030313471077,8.431157958999393
SARIMA,"(3, 1, 1)",2,157.68842271835152,104.6133165422937,7.418623319848233,33.408853916000226
SARIMA,"(3, 1, 1)",4,152.66907790907166,102.37393297270337,7.455160497549204,36.28387633400416
