,MAE,MAPE,RMSE
SARIMA,124.08950717250184,10.712198657128317,188.1331877716407
LSTM,140.544707672682,14.882319696796214,199.35188590221347
TCN,141.23309856917513,12.539090996770883,201.70575956210058
