square_id,model,MAE,RMSE,MAPE
5059,LSTM,80.33501237375894,110.77604375559483,9.367346121844891
5161,LSTM,103.03702080966625,147.57547936808936,13.521135994682313
5259,LSTM,73.16044100797379,104.48978544721486,8.379797632189222
5059,SARIMA,69.73280722014977,96.74791603124852,7.685506091599451
5161,SARIMA,81.91347622746991,123.83935019979523,8.436103379435888
5259,SARIMA,69.14573161602549,95.9424749692322,8.456461753128082
5059,TCN,99.03876483733646,135.56465428242956,10.989538674479126
5161,TCN,201.03778907816422,289.2019170116965,23.648698911512575
5259,TCN,160.84843475672392,202.01652603254865,23.408123053391268
