,MAE,MAPE,RMSE
SARIMA,101.81362520820481,9.367653252341828,147.6110800213317
LSTM,109.83830458103873,11.696053188048174,153.67955292360637
TCN,195.30941077166466,25.646242297784543,240.50278779483824
